step,BAAFFM_T,CPI_YOY,UNRATE_L,FEDFUNDS_LEVEL,USGOVT_LEVEL,BOGMBASE_LEVEL,NONBORRES_LEVEL
1,4.398906385662452,1.9801608862441404,7.7204347172446655,0.16,21903.0,2611.8,1524.1
2,4.305719480794376,2.1021904355658543,7.526186134802957,0.16,21903.0,2611.8,1524.1
3,4.188783240173422,2.0920213207662344,7.3310524202177145,0.16,21903.0,2611.8,1524.1
4,4.112909225728215,2.018916071883032,7.243681589310847,0.16,21903.0,2611.8,1524.1
5,4.08368149801278,2.0312250677897334,7.242040537114516,0.16,21903.0,2611.8,1524.1
6,4.064915856349326,2.133384513336612,7.166068617011524,0.16,21903.0,2611.8,1524.1
7,4.089155156636496,2.229308062676006,6.800749139689464,0.16,21903.0,2611.8,1524.1
8,4.206263588448874,2.272716858628741,6.669318012108256,0.16,21903.0,2611.8,1524.1
9,4.296607931449586,2.278319943514534,6.56920571572397,0.16,21903.0,2611.8,1524.1
10,4.370453390380355,2.2848809175597284,6.505127074620746,0.16,21903.0,2611.8,1524.1
11,4.3546990477176175,2.310883881777322,6.484480385087206,0.16,21903.0,2611.8,1524.1
12,4.35787639736207,2.353780074800546,6.216395498414443,0.16,21903.0,2611.8,1524.1
