step,BAAFFM_T,CPI_YOY,UNRATE_L
1,4.283299631584088,2.243099517020259,7.672316173646153
2,4.176355781723194,2.3338344765118686,7.587886184584174
3,4.093998505529125,2.414881115429584,7.4655283717581575
4,4.051639815957376,2.481530611513299,7.37469713912145
5,3.9741949212037375,2.545220448959841,7.2816845194866
6,3.888104029311846,2.606560376979637,7.194073719175211
7,3.8053658181799634,2.6701509679785427,7.110927296092169
8,3.725960915530473,2.731603296351272,7.030839047014906
9,3.653817846857542,2.7918870205816315,6.955689403561805
10,3.5896788819276995,2.850306860334923,6.884264001648716
11,3.5306667350684333,2.9071923180796104,6.8171663988141535
12,3.4756127119335862,2.962184008535476,6.753773632770421
